id,total_articles_read
4561,1174.3301797971249
4562,864.5034336485277
4563,605.0950679358292
4564,374.71625706407644
4565,159.36366708226726
4566,55.860273119537794
4567,187.1888899692369
4568,397.38234585717197
4569,607.866802904421
4570,915.2694529493002
4571,1337.8199191350725
4572,1646.0303199623686
4573,1707.4354750698599
4574,1470.3996442485088
4575,1719.0601007836021
4576,1788.3862000614765
4577,1580.3952378871488
4578,1486.3659847527815
4579,1598.5989814153618
4580,1758.1050374098659
4581,1752.7737072037612
4582,1722.843764314624
4583,1619.2454651886785
4584,1374.003556305702
4585,1162.2668992548308
4586,852.5667717368418
4587,593.2445801890078
4588,363.0279644824368
4589,147.65948110135233
4590,43.96170454206488
4591,175.195380122162
4592,385.29953245933604
4593,595.7787192292514
4594,903.2790916371804
4595,1326.0068193873342
4596,1634.0742858371748
4597,1695.4278597078844
4598,1458.4046823514057
4599,1707.2126474907168
4600,1776.6943303815663
4601,1568.5799654821312
4602,1474.3718362303384
4603,1586.539852526417
4604,1746.0012944387393
4605,1740.8185671051442
4606,1711.1087787857286
4607,1607.4746440307454
4608,1361.9547109093157
4609,1150.339688173097
4610,840.762469354665
4611,581.5240090408934
4612,351.4647632764953
4613,136.08114117140502
4614,32.19532914270292
4615,163.33729444376596
4616,373.3551972975896
4617,583.8295345127517
4618,891.424822594854
4619,1314.3245126921215
4620,1622.2537781959822
4621,1683.5576415592661
4622,1446.5469754159315
4623,1695.498081128072
4624,1765.1307263103783
4625,1556.8970787655753
4626,1462.5159313924075
4627,1574.621256274493
4628,1734.0397346371494
4629,1729.0012062396443
4630,1699.5049263062785
4631,1595.8363305876744
4632,1350.0473362878695
4633,1138.55038788165
4634,829.0924775794914
4635,569.9353756238718
4636,340.0288192864432
4637,124.63078300852366
4638,20.563077288201487
4639,151.61645559839258
4640,361.55106088440573
4641,572.0209496348061
4642,879.7084282031897
4643,1302.7749410382562
4644,1610.570584282516
4645,1671.8265428284958
4646,1434.8282436883032
4647,1683.918252399707
4648,1753.6973769531098
4649,1545.3484313502984
4650,1450.7999339109026
4651,1562.8447782287017
4652,1722.2218854822534
4653,1717.3232837080982
4654,1688.0340678654466
4655,1584.3323364209518
4656,1338.2829568095233
4657,1126.9006279552757
4658,817.5585324590534
4659,558.4804840092955
4660,328.72207692084095
4661,113.31032200453295
4662,9.066665618673342
4663,140.03447606157283
4664,349.88863690717636
4665,560.3544594281421
4666,868.1314824047628
4667,1291.3598331375774
4668,1599.0262830744973
4669,1660.2360796540513
4670,1423.2500015719836
4671,1672.4748022409083
4672,1742.3960574711411
4673,1533.935667312159
4674,1439.2253040335393
4675,1551.2118031422453
4676,1710.5490756164006
4677,1705.7862558129757
4678,1676.6978554886582
4679,1572.9642658374219
4680,1326.6628987468068
4681,1115.391836736631
4682,806.1621656326067
4683,547.1609318882826
4684,317.54626997023485
4685,102.12146400177784
4686,-2.292392388460515
4687,128.59276856900073
4688,338.36924256767827
4689,548.8313629893141
4690,856.6953610856594
4691,1280.0807149542616
4692,1587.622255651857
4693,1648.7875724035862
4694,1411.8135679117886
4695,1661.1691722212527
4696,1731.2283396118214
4697,1522.6602315776877
4698,1427.7933087758606
4699,1539.7235250586505
4700,1699.0224448872336
4701,1694.3913862186182
4702,1665.4977425869627
4703,1561.73352618106
4704,1315.1883002773623
4705,1104.025251431227
4706,794.9047145214075
4707,535.9781208199458
4708,306.50293198414687
4709,91.06571563261164
4710,-13.512776283120974
4711,117.2925561406202
4712,326.99400850018503
4713,537.452773569329
4714,845.4012520348061
4715,1268.9389198071478
4716,1576.359695143105
4717,1637.4821555496685
4718,1400.5200758589956
4719,1650.0026145250256
4720,1720.1956018117617
4721,1511.523379889781
4722,1416.505031697561
4723,1528.3809570050912
4724,1687.64295397705
4725,1683.139755697077
4726,1654.4349938861799
4727,1550.641337706427
4728,1303.8601210755935
4729,1092.801927790467
4730,783.7873321043523
4731,524.933266063079
4732,295.5934062275875
4733,80.1443942396832
4734,-24.593348919924033
4735,106.13488169559656
4736,315.76388828388565
4737,526.21962805954
4738,834.2501644965168
4739,1257.9355980609025
4740,1565.239616265528
4741,1626.3207871416575
4742,1389.3704823330233
4743,1638.9762015246993
4744,1709.299038889439
4745,1500.5261883671187
4746,1405.3613822785642
4747,1517.1849402881671
4748,1676.4113936367253
4749,1672.0322714749605
4750,1643.510694951414
4751,1539.6887430493355
4752,1292.6791515104537
4753,1081.7227493980597
4754,772.8109962941913
4755,514.0274060067575
4756,284.81885523267147
4757,69.35863739256143
4758,-35.533147132905036
4759,95.12061727338927
4760,304.679667564716
4761,515.1326960878844
4762,823.2429383313927
4763,1247.0717264212908
4764,1554.2628644743197
4765,1615.3042578887562
4766,1378.3655770947037
4767,1628.0908349625986
4768,1698.5396713423518
4769,1489.6695626724031
4770,1394.363104909767
4771,1506.1361534069617
4772,1665.3283935389493
4773,1661.069676196157
4774,1632.7257613219706
4775,1528.876616309702
4776,1281.6460214640686
4777,1070.7884365745863
4778,761.9765189291793
4779,503.2614112147699
4780,274.1802699603693
4781,58.709412015688
4782,-46.331372792822954
4783,84.25047287560618
4784,293.7419728011778
4785,504.19258874000474
4786,812.3802528001767
4787,1236.3481168492874
4788,1543.430124735229
4789,1604.433199868744
4790,1367.5059914456376
4791,1617.347254755349
4792,1687.9183542634337
4793,1478.9542468039917
4794,1383.5107875128322
4795,1495.2351205976777
4796,1654.3944307650117
4797,1650.2525565147675
4798,1622.080947271184
4799,1518.2056717610392
4800,1270.7612087853704
4801,1059.9995549144812
4802,751.2845543945051
4803,492.6359930982689
4804,263.67847858689504
4805,48.19752314211969
4806,-56.98738423277611
4807,73.52500494279968
4808,282.95127964820216
4809,493.399766919284
4810,801.662634984648
4811,1225.7654251082408
4812,1532.741929934784
4813,1593.7080948763842
4814,1356.7922065676112
4815,1606.746047435184
4816,1677.4357858909136
4817,1468.3808315249778
4818,1372.8048698029086
4819,1484.482220023647
4820,1643.6098379388643
4821,1639.5813513320848
4822,1611.576854205154
4823,1507.6764722005225
4824,1260.025047392419
4825,1049.3565234691791
4826,740.7356078873332
4827,482.1517122305198
4828,253.31415492872105
4829,37.82362230701186
4830,-67.50068802836545
4831,62.944624479864586
4832,272.30792099261805
