ID,Sales
883,147.0
884,147.0
885,142.0
886,140.0
887,89.0
888,90.0
889,94.0
890,94.0
891,89.0
892,87.0
893,87.0
894,88.0
895,88.0
896,140.0
897,141.0
898,141.0
899,133.0
900,133.0
901,85.0
902,85.0
903,85.0
904,85.0
905,84.0
906,83.0
907,83.0
908,85.0
909,81.0
910,145.0
911,154.0
912,154.0
913,138.0
914,138.0
915,91.0
916,91.0
917,91.0
918,91.0
919,91.0
920,88.0
921,88.0
922,89.0
923,89.0
924,147.0
925,150.0
926,145.0
927,138.0
928,138.0
929,90.0
930,90.0
931,90.0
932,89.0
933,89.0
934,85.0
935,85.0
936,88.0
937,88.0
938,146.0
939,146.0
940,143.0
941,150.0
942,149.0
1825,175.0
1826,175.0
1827,118.0
1828,163.0
1829,107.0
1830,107.0
1831,111.0
1832,111.0
1833,107.0
1834,101.0
1835,101.0
1836,103.0
1837,103.0
1838,164.0
1839,165.0
1840,165.0
1841,155.0
1842,155.0
1843,101.0
1844,101.0
1845,100.0
1846,100.0
1847,99.0
1848,97.0
1849,97.0
1850,98.0
1851,95.0
1852,168.0
1853,179.0
1854,179.0
1855,165.0
1856,165.0
1857,107.0
1858,107.0
1859,107.0
1860,107.0
1861,107.0
1862,103.0
1863,103.0
1864,103.0
1865,103.0
1866,172.0
1867,172.0
1868,169.0
1869,162.0
1870,162.0
1871,108.0
1872,108.0
1873,108.0
1874,106.0
1875,106.0
1876,99.0
1877,99.0
1878,102.0
1879,102.0
1880,168.0
1881,168.0
1882,167.0
1883,175.0
1884,173.0
2767,212.0
2768,212.0
2769,206.0
2770,204.0
2771,139.0
2772,140.0
2773,144.0
2774,144.0
2775,139.0
2776,136.0
2777,136.0
2778,137.0
2779,137.0
2780,194.0
2781,194.0
2782,194.0
2783,189.0
2784,189.0
2785,136.0
2786,136.0
2787,135.0
2788,135.0
2789,133.0
2790,130.0
2791,130.0
2792,132.0
2793,129.0
2794,199.0
2795,205.0
2796,205.0
2797,201.0
2798,201.0
2799,143.0
2800,143.0
2801,143.0
2802,143.0
2803,143.0
2804,141.0
2805,141.0
2806,144.0
2807,144.0
2808,204.0
2809,204.0
2810,200.0
2811,198.0
2812,198.0
2813,147.0
2814,147.0
2815,147.0
2816,144.0
2817,144.0
2818,142.0
2819,142.0
2820,145.0
2821,145.0
2822,200.0
2823,200.0
2824,197.0
2825,221.0
2826,217.0
3709,173.0
3710,173.0
3711,166.0
3712,164.0
3713,110.0
3714,111.0
3715,115.0
3716,115.0
3717,110.0
3718,106.0
3719,106.0
3720,107.0
3721,107.0
3722,162.0
3723,162.0
3724,162.0
3725,153.0
3726,153.0
3727,105.0
3728,105.0
3729,105.0
3730,105.0
3731,103.0
3732,101.0
3733,101.0
3734,103.0
3735,100.0
3736,165.0
3737,171.0
3738,171.0
3739,163.0
3740,163.0
3741,110.0
3742,110.0
3743,110.0
3744,110.0
3745,110.0
3746,108.0
3747,108.0
3748,110.0
3749,110.0
3750,169.0
3751,169.0
3752,166.0
3753,155.0
3754,155.0
3755,112.0
3756,112.0
3757,112.0
3758,110.0
3759,110.0
3760,106.0
3761,106.0
3762,108.0
3763,108.0
3764,166.0
3765,166.0
3766,163.0
3767,175.0
3768,173.0
4651,185.0
4652,185.0
4653,133.0
4654,175.0
4655,126.0
4656,127.0
4657,130.0
4658,130.0
4659,127.0
4660,121.0
4661,121.0
4662,123.0
4663,123.0
4664,172.0
4665,173.0
4666,173.0
4667,167.0
4668,167.0
4669,120.0
4670,120.0
4671,119.0
4672,119.0
4673,117.0
4674,115.0
4675,115.0
4676,116.0
4677,114.0
4678,174.0
4679,182.0
4680,182.0
4681,172.0
4682,172.0
4683,127.0
4684,127.0
4685,127.0
4686,127.0
4687,127.0
4688,122.0
4689,122.0
4690,124.0
4691,124.0
4692,179.0
4693,178.0
4694,175.0
4695,167.0
4696,167.0
4697,125.0
4698,125.0
4699,125.0
